2024-11-03 00:14:27 - Score: 1132, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.985, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:15:59 - Score: 1116, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.970225, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:17:19 - Score: 932, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.955671625, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:18:27 - Score: 676, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.941336550625, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:20:08 - Score: 1276, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.927216502365625, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:21:54 - Score: 1400, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.9133082548301407, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:23:28 - Score: 1276, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8996086310076885, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:25:04 - Score: 1004, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8861145015425732, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 00:26:59 - Score: 1472, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8728227840194346, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:14:14 - Score: 620, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:16:13 - Score: 1524, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.985, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:17:16 - Score: 576, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.970225, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:19:14 - Score: 2040, Max Tile: 256, Layers: 4, Params: 19204, Epsilon: 0.955671625, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:20:25 - Score: 756, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.941336550625, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:21:44 - Score: 1020, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.927216502365625, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:23:32 - Score: 1588, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.9133082548301407, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:25:00 - Score: 1256, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8996086310076885, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:25:44 - Score: 256, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.8861145015425732, Learning Rate: 0.001, Gamma: 0.95
2024-11-03 12:27:07 - Score: 880, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8728227840194346, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:08:44 - Score: 1368, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:15:49 - Score: 1128, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:22:28 - Score: 1220, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:27:28 - Score: 1424, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 1.0, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:28:23 - Score: 276, Max Tile: 32, Layers: 4, Params: 19204, Epsilon: 0.985, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:30:08 - Score: 1156, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.970225, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:31:27 - Score: 600, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.955671625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:32:58 - Score: 648, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.941336550625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:34:31 - Score: 820, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.927216502365625, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:36:14 - Score: 1096, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.9133082548301407, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:37:50 - Score: 816, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8996086310076885, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:39:01 - Score: 676, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8861145015425732, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:40:47 - Score: 1216, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8728227840194346, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:42:09 - Score: 560, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8597304422591431, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:44:01 - Score: 1352, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8468344856252559, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:45:23 - Score: 764, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.834131968340877, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:47:30 - Score: 1488, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.8216199888157638, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:49:12 - Score: 680, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.8092956889835273, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:51:16 - Score: 1340, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7971562536487744, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:52:47 - Score: 684, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.7851989098440427, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:54:15 - Score: 684, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.773420926196382, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 09:56:52 - Score: 1456, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7618196123034363, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:22:26 - Score: 1436, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7503923181188847, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:24:22 - Score: 1256, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7391364333471014, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:26:21 - Score: 1116, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7280493868468949, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:29:05 - Score: 2332, Max Tile: 256, Layers: 4, Params: 19204, Epsilon: 0.7171286460441915, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:31:19 - Score: 1420, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.7063717163535286, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:32:50 - Score: 732, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.6957761406082257, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:34:26 - Score: 1020, Max Tile: 128, Layers: 4, Params: 19204, Epsilon: 0.6853394984991023, Learning Rate: 0.001, Gamma: 0.95
2024-11-04 10:35:52 - Score: 596, Max Tile: 64, Layers: 4, Params: 19204, Epsilon: 0.6750594060216157, Learning Rate: 0.001, Gamma: 0.95
